date,storageAF,storageMCM
12/29/94,199727,246.4
1/31/95,319610,394.2
2/28/95,245808,303.2
3/31/95,288206,355.5
4/30/95,246761,304.4
5/29/95,244857,302
6/28/95,240375,296.5
7/29/95,234589,289.4
8/29/95,226511,279.4
9/28/95,219088,270.2
10/29/95,211662,261.1
11/28/95,204782,252.6
12/29/95,222803,274.8
1/31/96,264708,326.5
2/29/96,258722,319.1
3/31/96,245385,302.7
4/30/96,246098,303.6
5/29/96,243488,300.3
6/28/96,238427,294.1
7/29/96,232189,286.4
8/1/96,224640,277.1
9/1/96,216869,267.5
10/1/96,209447,258.3
11/1/96,205859,253.9
12/1/96,295124,364
1/1/97,264569,326.3
2/1/97,243304,300.1
3/1/97,243567,300.4
4/1/97,239673,295.6
5/1/97,235024,289.9
6/1/97,227740,280.9
7/1/97,217306,268
8/1/97,207884,256.4
9/1/97,201364,248.4
10/1/97,196321,242.2
11/1/97,202801,250.2
12/1/97,211304,260.6
1/1/98,257138,317.2
2/1/98,271352,334.7
3/1/98,246284,303.8
4/1/98,244514,301.6
5/1/98,253989,313.3
6/1/98,244857,302
7/1/98,239335,295.2
8/1/98,232545,286.8
9/1/98,226036,278.8
10/1/98,219798,271.1
11/1/98,223125,275.2
12/1/98,226311,279.2
1/1/99,234896,289.7
2/1/99,244672,301.8
3/1/99,245147,302.4
4/1/99,244804,302
5/1/99,242072,298.6
6/1/99,236928,292.2
7/1/99,230817,284.7
8/1/99,223968,276.3
9/1/99,216844,267.5
10/1/99,209637,258.6
11/1/99,207176,255.5
12/1/99,202035,249.2
1/1/00,226586,279.5
2/1/00,262269,323.5
3/1/00,244567,301.7
4/1/00,245781,303.2
5/1/00,242937,299.7
6/1/00,236980,292.3
7/1/00,229578,283.2
8/1/00,221618,273.4
9/1/00,214472,264.5
10/1/00,209542,258.5
11/1/00,203080,250.5
12/1/00,196366,242.2
1/1/01,204338,252
2/1/01,247265,305
3/1/01,244672,301.8
4/1/01,242020,298.5
5/1/01,236825,292.1
6/1/01,228872,282.3
7/1/01,219577,270.8
8/1/01,209375,258.3
9/1/01,201341,248.4
10/1/01,194689,240.1
11/1/01,204221,251.9
12/1/01,248674,306.7
1/1/02,243620,300.5
2/1/02,244040,301
3/1/02,245755,303.1
4/1/02,242360,298.9
5/1/02,237418,292.9
6/1/02,230741,284.6
7/1/02,222482,274.4
8/1/02,212932,262.6
9/1/02,204174,251.8
10/1/02,196412,242.3
11/1/02,190983,235.6
12/1/02,265710,327.7
1/1/03,244672,301.8
2/1/03,245068,302.3
3/1/03,244541,301.6
4/1/03,249128,307.3
5/1/03,243541,300.4
6/1/03,238634,294.4
7/1/03,230488,284.3
8/1/03,222531,274.5
9/1/03,215486,265.8
10/1/03,207955,256.5
11/1/03,201757,248.9
12/1/03,245306,302.6
1/1/04,245570,302.9
2/1/04,261414,322.4
3/1/04,244699,301.8
4/1/04,240505,296.7
5/1/04,234819,289.6
6/1/04,227087,280.1
7/1/04,219602,270.9
8/1/04,211997,261.5
9/1/04,204571,252.3
10/1/04,199015,245.5
11/1/04,193403,238.6
12/1/04,213148,262.9
1/1/05,244040,301
2/1/05,248914,307
3/1/05,246310,303.8
4/1/05,243199,300
5/1/05,245517,302.8
6/1/05,240740,296.9
7/1/05,233693,288.3
8/1/05,226061,278.8
9/1/05,218623,269.7
10/1/05,211614,261
11/1/05,206658,254.9
12/1/05,296292,365.5
1/1/06,248302,306.3
2/1/06,262905,324.3
3/1/06,251429,310.1
4/1/06,245570,302.9
5/1/06,242125,298.7
6/1/06,236876,292.2
7/1/06,229275,282.8
8/1/06,221667,273.4
9/1/06,215196,265.4
10/1/06,209043,257.9
11/1/06,203382,250.9
12/1/06,211017,260.3
1/1/07,208404,257.1
2/1/07,247610,305.4
3/1/07,244356,301.4
4/1/07,241732,298.2
5/1/07,236696,292
6/1/07,229073,282.6
7/1/07,221076,272.7
8/1/07,213436,263.3
9/1/07,206446,254.6
10/1/07,200648,247.5
11/1/07,193741,239
12/1/07,194102,239.4
1/1/08,249128,307.3
2/1/08,251671,310.4
3/1/08,244514,301.6
4/1/08,239387,295.3
5/1/08,233949,288.6
6/1/08,226161,279
7/1/08,217404,268.2
8/1/08,208806,257.6
9/1/08,201896,249
10/1/08,195119,240.7
11/1/08,189515,233.8
12/1/08,186512,230.1
1/1/09,181141,223.4
2/1/09,212284,261.8
3/1/09,228897,282.3
4/1/09,225487,278.1
5/1/09,224391,276.8
6/1/09,217964,268.9
7/1/09,210136,259.2
8/1/09,202870,250.2
9/1/09,195912,241.7
10/1/09,191564,236.3
11/1/09,184390,227.4
12/1/09,182111,224.6
1/1/10,245675,303
2/1/10,253179,312.3
3/1/10,248728,306.8
4/1/10,250518,309
5/1/10,245121,302.4
6/1/10,239621,295.6
7/1/10,232469,286.7
8/1/10,225212,277.8
9/1/10,218599,269.6
10/1/10,216480,267
11/1/10,214689,264.8
12/1/10,258749,319.2
1/1/11,245622,303
2/1/11,249341,307.6
3/1/11,273450,337.3
4/1/11,245306,302.6
5/1/11,239933,296
6/1/11,236954,292.3
7/1/11,230412,284.2
8/1/11,223993,276.3
9/1/11,217525,268.3
10/1/11,212141,261.7
11/1/11,206752,255
12/1/11,199038,245.5
1/1/12,205836,253.9
2/1/12,203429,250.9
3/1/12,235409,290.4
4/1/12,247398,305.2
5/1/12,243856,300.8
6/1/12,237651,293.1
7/1/12,230311,284.1
8/1/12,222803,274.8
9/1/12,215874,266.3
10/1/12,208309,256.9
11/1/12,217818,268.7
12/1/12,265209,327.1
1/1/13,250063,308.4
2/1/13,243331,300.1
3/1/13,236954,292.3
4/1/13,231046,285
5/1/13,223522,275.7
6/1/13,215874,266.3
7/1/13,207483,255.9
8/1/13,198671,245.1
